,Protein,ENSG,UniProt,Source,Score,disease_id
141,XPO1,ENSG00000082898,O14980,uniprot_swissprot,0.4619748183558772,MONDO_0004975
142,AP2S1,ENSG00000042753,P53680,uniprot_swissprot,0.461899206142951,MONDO_0004975
143,PAF1,ENSG00000006712,Q8N7H5,uniprot_swissprot,0.46188830355999916,MONDO_0004975
144,RRP15,ENSG00000067533,Q9Y3B9,uniprot_swissprot,0.46188830355999916,MONDO_0004975
145,PIK3CB,ENSG00000051382,P42338,uniprot_swissprot,0.46139472858132263,MONDO_0004975
146,ACACA,ENSG00000278540,Q13085,uniprot_swissprot,0.459921094358024,MONDO_0004975
147,HTR2C,ENSG00000147246,P28335,uniprot_swissprot,0.4595022999123148,MONDO_0004975
148,NOC4L,ENSG00000184967,Q9BVI4,uniprot_swissprot,0.4594322460947265,MONDO_0004975
149,WDHD1,ENSG00000198554,O75717,uniprot_swissprot,0.4594322460947265,MONDO_0004975
150,PPT1,ENSG00000131238,P50897,uniprot_swissprot,0.458726735568174,MONDO_0004975
151,B4GALT2,ENSG00000117411,O60909,uniprot_swissprot,0.4579725560186721,MONDO_0004975
152,ADRB3,ENSG00000188778,P13945,uniprot_swissprot,0.4570052700463669,MONDO_0004975
153,ELMO2,ENSG00000062598,Q96JJ3,uniprot_swissprot,0.45604266554808764,MONDO_0004975
154,TGFBR1,ENSG00000106799,P36897,uniprot_swissprot,0.4554530193406848,MONDO_0004975
155,EPHA1,ENSG00000146904,P21709,uniprot_swissprot,0.45503435848878926,MONDO_0004975
156,RSL24D1,ENSG00000137876,Q9UHA3,uniprot_swissprot,0.4546073984531161,MONDO_0004975
157,GBF1,ENSG00000107862,Q92538,uniprot_swissprot,0.454131338068696,MONDO_0004975
158,SLC6A2,ENSG00000103546,P23975,uniprot_swissprot,0.4538868079000149,MONDO_0004975
159,MT-ND1,ENSG00000198888,P03886,uniprot_swissprot,0.45273532198875965,MONDO_0004975
160,LAMTOR3,ENSG00000109270,Q9UHA4,uniprot_swissprot,0.4526471529274839,MONDO_0004975
161,PTPN12,ENSG00000127947,Q05209,uniprot_swissprot,0.4522385494312291,MONDO_0004975
162,PRDX2,ENSG00000167815,P32119,uniprot_swissprot,0.452097362070795,MONDO_0004975
163,PIK3R1,ENSG00000145675,P27986,uniprot_swissprot,0.45176825864331527,MONDO_0004975
164,DIMT1,ENSG00000086189,Q9UNQ2,uniprot_swissprot,0.4512991540879212,MONDO_0004975
165,BLOC1S5,ENSG00000188428,Q8TDH9,uniprot_swissprot,0.4512991540879212,MONDO_0004975
166,AP3B1,ENSG00000132842,O00203,uniprot_swissprot,0.4512991540879212,MONDO_0004975
167,DHX15,ENSG00000109606,O43143,uniprot_swissprot,0.4512991540879212,MONDO_0004975
168,RAB7A,ENSG00000075785,P51149,uniprot_swissprot,0.45083115206903435,MONDO_0004975
169,SBF1,ENSG00000100241,O95248,uniprot_swissprot,0.45036441949062855,MONDO_0004975
170,SLC6A4,ENSG00000108576,P31645,uniprot_swissprot,0.4502737085490464,MONDO_0004975
171,ATP1A1,ENSG00000163399,P05023,uniprot_swissprot,0.44956394094443014,MONDO_0004975
172,NDUFC1,ENSG00000109390,O43677,uniprot_swissprot,0.4485111828023126,MONDO_0004975
173,SMG8,ENSG00000167447,Q8ND04,uniprot_swissprot,0.4471290296464374,MONDO_0004975
174,IPO7,ENSG00000205339,O95373,uniprot_swissprot,0.44544164365021677,MONDO_0004975
175,NDUFV1,ENSG00000167792,P49821,uniprot_swissprot,0.4446646182557207,MONDO_0004975
