,Protein,ENSG,UniProt,Source,Score
670,USP48,ENSG00000090686,Q86UV5,uniprot_swissprot,0.26958185299540244
671,RGMA,ENSG00000182175,Q96B86,uniprot_swissprot,0.2695443521484609
672,UBE2E3,ENSG00000170035,Q969T4,uniprot_swissprot,0.2693024084468668
673,APOL1,ENSG00000100342,O14791,uniprot_swissprot,0.269251937202211
674,NUDT5,ENSG00000165609,Q9UKK9,uniprot_swissprot,0.26901970092211414
675,PCNT,ENSG00000160299,O95613,uniprot_swissprot,0.26890253215762555
676,GNG7,ENSG00000176533,O60262,uniprot_swissprot,0.26884501052651405
677,GRAMD2B,ENSG00000155324,Q96HH9,uniprot_swissprot,0.26861022889818964
678,POU5F1B,ENSG00000212993,Q06416,uniprot_swissprot,0.2684704617074516
679,PDCD4,ENSG00000150593,Q53EL6,uniprot_swissprot,0.2684337286406389
680,HTT,ENSG00000197386,P42858,uniprot_swissprot,0.2684069614153618
681,JMY,ENSG00000152409,Q8N9B5,uniprot_swissprot,0.26810468822439953
682,PTGDR,ENSG00000168229,Q13258,uniprot_swissprot,0.26794539464640876
683,PMAIP1,ENSG00000141682,Q13794,uniprot_swissprot,0.2673111292604449
684,CYRIA,ENSG00000197872,Q9H0Q0,uniprot_swissprot,0.26725302197967243
685,ADRB3,ENSG00000188778,P13945,uniprot_swissprot,0.2670862525362919
686,SLC38A9,ENSG00000177058,Q8NBW4,uniprot_swissprot,0.2669153663612111
687,SLC7A7,ENSG00000155465,Q9UM01,uniprot_swissprot,0.26661487143022
688,PTGFRN,ENSG00000134247,Q9P2B2,uniprot_swissprot,0.2663596064253211
689,YPEL2,ENSG00000175155,Q96QA6,uniprot_swissprot,0.26621782657481385
690,SLC45A1,ENSG00000162426,Q9Y2W3,uniprot_swissprot,0.26601060282010874
691,RBL2,ENSG00000103479,Q08999,uniprot_swissprot,0.2658156027679003
692,COL13A1,ENSG00000197467,Q5TAT6,uniprot_swissprot,0.26543686534296296
693,ZNF239,ENSG00000196793,Q16600,uniprot_swissprot,0.26504907314336545
694,KDM4B,ENSG00000127663,O94953,uniprot_swissprot,0.2649353256274431
695,ATP8B2,ENSG00000143515,P98198,uniprot_swissprot,0.26479121127576344
696,TNRC6B,ENSG00000100354,Q9UPQ9,uniprot_swissprot,0.26457682789541925
697,EBF1,ENSG00000164330,Q9UH73,uniprot_swissprot,0.2644635757979176
698,AZIN1,ENSG00000155096,O14977,uniprot_swissprot,0.2641330767398204
699,ABL2,ENSG00000143322,P42684,uniprot_swissprot,0.2639934810202959
700,FXYD2,ENSG00000137731,P54710,uniprot_swissprot,0.26399248585283097
701,JAG1,ENSG00000101384,P78504,uniprot_swissprot,0.26375048733104106
702,SLC18A2,ENSG00000165646,Q05940,uniprot_swissprot,0.26290088628263947
703,THBS1,ENSG00000137801,P07996,uniprot_swissprot,0.2627028419010927
704,C1QTNF6,ENSG00000133466,Q9BXI9,uniprot_swissprot,0.26192118214541077
705,SP9,ENSG00000217236,P0CG40,uniprot_swissprot,0.2618691897119639
706,CCNH,ENSG00000134480,P51946,uniprot_swissprot,0.2617374551702169
707,ANKRD55,ENSG00000164512,Q3KP44,uniprot_swissprot,0.261435711929515
708,NUP133,ENSG00000069248,Q8WUM0,uniprot_swissprot,0.2612491211449558
709,F10,ENSG00000126218,P00742,uniprot_swissprot,0.26122581377913057
710,GSAP,ENSG00000186088,A4D1B5,uniprot_swissprot,0.2610972167918101
711,MAP2K7,ENSG00000076984,O14733,uniprot_swissprot,0.26103493272319633
712,RAB31,ENSG00000168461,Q13636,uniprot_swissprot,0.2608359346663123
713,CDKN1B,ENSG00000111276,P46527,uniprot_swissprot,0.2605787100118417
714,ZNF808,ENSG00000198482,Q8N4W9,uniprot_swissprot,0.26025237301159837
715,ZNF761,ENSG00000160336,Q86XN6,uniprot_swissprot,0.26008577013535356
716,FDFT1,ENSG00000079459,P37268,uniprot_swissprot,0.25966259679757087
717,SCNN1A,ENSG00000111319,P37088,uniprot_swissprot,0.25962984791600296
718,GIP,ENSG00000159224,P09681,uniprot_swissprot,0.2595599320220886
719,IL17REL,ENSG00000188263,Q6ZVW7,uniprot_swissprot,0.25938868186338454
720,FADS2,ENSG00000134824,O95864,uniprot_swissprot,0.2592537243058396
721,FBXL22,ENSG00000197361,Q6P050,uniprot_swissprot,0.2589197267664668
722,FAM241B,ENSG00000171224,Q96D05,uniprot_swissprot,0.25854069471349567
723,RANBP3L,ENSG00000164188,Q86VV4,uniprot_swissprot,0.25853434968993616
724,MRPS35,ENSG00000061794,P82673,uniprot_swissprot,0.2583942321661501
725,CFAP44,ENSG00000206530,Q96MT7,uniprot_swissprot,0.2580901552072337
726,HSPA12A,ENSG00000165868,O43301,uniprot_swissprot,0.25752246934392187
727,ALDH1A2,ENSG00000128918,O94788,uniprot_swissprot,0.25681023907410405
728,HS6ST3,ENSG00000185352,Q8IZP7,uniprot_swissprot,0.2566727667427122
729,SYN2,ENSG00000157152,Q92777,uniprot_swissprot,0.2566081873526783
730,KCNB2,ENSG00000182674,Q92953,uniprot_swissprot,0.2563132520544153
731,SKOR1,ENSG00000188779,P84550,uniprot_swissprot,0.25623013894127933
732,STK35,ENSG00000125834,Q8TDR2,uniprot_swissprot,0.2558145200111321
733,GRB14,ENSG00000115290,Q14449,uniprot_swissprot,0.25576580791252906
734,SUPV3L1,ENSG00000156502,Q8IYB8,uniprot_swissprot,0.2556652096455117
735,TSEN15,ENSG00000198860,Q8WW01,uniprot_swissprot,0.25554158471605437
736,SLC39A10,ENSG00000196950,Q9ULF5,uniprot_swissprot,0.2554298552716125
737,GOLIM4,ENSG00000173905,O00461,uniprot_swissprot,0.25534895679489217
738,PCBD1,ENSG00000166228,P61457,uniprot_swissprot,0.2549649251986816
739,LRRC66,ENSG00000188993,Q68CR7,uniprot_swissprot,0.2548321481946673
740,GCA,ENSG00000115271,P28676,uniprot_swissprot,0.2547032745034516
741,SNAPC2,ENSG00000104976,Q13487,uniprot_swissprot,0.25466184751313053
742,CWH43,ENSG00000109182,Q9H720,uniprot_swissprot,0.25438054132119003
743,FGFR3,ENSG00000068078,P22607,uniprot_swissprot,0.25424839307371416
744,LYZL2,ENSG00000151033,Q7Z4W2,uniprot_swissprot,0.2540641654771298
745,MYO16,ENSG00000041515,Q9Y6X6,uniprot_swissprot,0.25372784562617806
746,CAMK2G,ENSG00000148660,Q13555,uniprot_swissprot,0.25358724894870643
747,MACF1,ENSG00000127603,Q9UPN3,uniprot_swissprot,0.2535611823597208
748,ANKRD28,ENSG00000206560,O15084,uniprot_swissprot,0.2531169929899399
749,RPTOR,ENSG00000141564,Q8N122,uniprot_swissprot,0.25284653129488505
750,CKB,ENSG00000166165,P12277,uniprot_swissprot,0.25214836401736995
751,SLITRK3,ENSG00000121871,O94933,uniprot_swissprot,0.25197688234440146
752,MICB,ENSG00000204516,Q29980,uniprot_swissprot,0.2515443713207084
753,NCOA7,ENSG00000111912,Q8NI08,uniprot_swissprot,0.2512229068525026
754,DNAH7,ENSG00000118997,Q8WXX0,uniprot_swissprot,0.2504017321356292
755,POU3F3,ENSG00000198914,P20264,uniprot_swissprot,0.25038489746900583
756,EML2,ENSG00000125746,O95834,uniprot_swissprot,0.25034167109282107
757,NKX2-2,ENSG00000125820,O95096,uniprot_swissprot,0.24957463899886334
758,HERC2,ENSG00000128731,O95714,uniprot_swissprot,0.24929685159908618
759,NYAP2,ENSG00000144460,Q9P242,uniprot_swissprot,0.24865592231477135
760,ZNF100,ENSG00000197020,Q8IYN0,uniprot_swissprot,0.24860922382118875
761,B3GNT2,ENSG00000170340,Q9NY97,uniprot_swissprot,0.24846954264493437
762,CTRB1,ENSG00000168925,P17538,uniprot_swissprot,0.2482094516204084
763,MANSC4,ENSG00000205693,A6NHS7,uniprot_swissprot,0.24762402776903453
764,OPCML,ENSG00000183715,Q14982,uniprot_swissprot,0.2476203812442356
765,MYCN,ENSG00000134323,P04198,uniprot_swissprot,0.24701084637662557
766,PHF2,ENSG00000197724,O75151,uniprot_swissprot,0.24697383960496747
767,FIBCD1,ENSG00000130720,Q8N539,uniprot_swissprot,0.24673617222009303
768,PPP2R3A,ENSG00000073711,Q06190,uniprot_swissprot,0.24647570515560557
769,FBP1,ENSG00000165140,P09467,uniprot_swissprot,0.24627206690555006
770,PHF13,ENSG00000116273,Q86YI8,uniprot_swissprot,0.24622459568909136
771,RAB3C,ENSG00000152932,Q96E17,uniprot_swissprot,0.24593576027928182
772,MED27,ENSG00000160563,Q6P2C8,uniprot_swissprot,0.24575374386963195
773,TIGAR,ENSG00000078237,Q9NQ88,uniprot_swissprot,0.2454257221972415
774,KDM3A,ENSG00000115548,Q9Y4C1,uniprot_swissprot,0.24504827719706215
775,MPHOSPH9,ENSG00000051825,Q99550,uniprot_swissprot,0.24499896122287576
776,SLC35C1,ENSG00000181830,Q96A29,uniprot_swissprot,0.24443858147100284
777,BRD3OS,ENSG00000235106,A0A1B0GUI7,uniprot_swissprot,0.24431197701014573
778,ZNF10,ENSG00000256223,P21506,uniprot_swissprot,0.24425389840599138
779,PDHX,ENSG00000110435,O00330,uniprot_swissprot,0.24407183828318765
780,FGFR2,ENSG00000066468,P21802,uniprot_swissprot,0.24394511592548573
781,TNIP1,ENSG00000145901,Q15025,uniprot_swissprot,0.24285902612303772
782,ATP2B4,ENSG00000058668,P23634,uniprot_swissprot,0.24280380867368576
783,PI16,ENSG00000164530,Q6UXB8,uniprot_swissprot,0.24273309919694314
784,POU5F1,ENSG00000204531,Q01860,uniprot_swissprot,0.2425322853686855
785,FAP,ENSG00000078098,Q12884,uniprot_swissprot,0.24251495175470988
786,RPS6KA1,ENSG00000117676,Q15418,uniprot_swissprot,0.24247916501166847
787,SLC26A9,ENSG00000174502,Q7LBE3,uniprot_swissprot,0.24181112368205573
788,NAPEPLD,ENSG00000161048,Q6IQ20,uniprot_swissprot,0.24174749217738145
789,CPEB3,ENSG00000107864,Q8NE35,uniprot_swissprot,0.24171165328389735
790,TSC22D2,ENSG00000196428,O75157,uniprot_swissprot,0.24145651722936026
791,PKP2,ENSG00000057294,Q99959,uniprot_swissprot,0.2414560307658258
792,MARK3,ENSG00000075413,P27448,uniprot_swissprot,0.24040600792037298
793,DENND1A,ENSG00000119522,Q8TEH3,uniprot_swissprot,0.23947048804500926
794,SYT13,ENSG00000019505,Q7L8C5,uniprot_swissprot,0.23944267586960122
795,RFX3,ENSG00000080298,P48380,uniprot_swissprot,0.2394425436975455
796,SLX4,ENSG00000188827,Q8IY92,uniprot_swissprot,0.239321155749536
797,TRPV5,ENSG00000127412,Q9NQA5,uniprot_swissprot,0.2392305138144353
798,RPGRIP1L,ENSG00000103494,Q68CZ1,uniprot_swissprot,0.239215308097508
799,CALR,ENSG00000179218,P27797,uniprot_swissprot,0.2391172298846555
800,FAF1,ENSG00000185104,Q9UNN5,uniprot_swissprot,0.23874831652193446
801,NRBF2,ENSG00000148572,Q96F24,uniprot_swissprot,0.23748430418753386
802,SLC35D3,ENSG00000182747,Q5M8T2,uniprot_swissprot,0.2370692640111558
803,C12orf50,ENSG00000165805,Q8NA57,uniprot_swissprot,0.23702923616068877
804,BTRC,ENSG00000166167,Q9Y297,uniprot_swissprot,0.23678133019968947
805,PGRMC2,ENSG00000164040,O15173,uniprot_swissprot,0.23660451866226168
806,MDFIC2,ENSG00000242120,A0A1B0GVS7,uniprot_swissprot,0.23648704435941767
807,OR5B3,ENSG00000172769,Q8NH48,uniprot_swissprot,0.23628946916478066
808,SNX29,ENSG00000048471,Q8TEQ0,uniprot_swissprot,0.23617069054403333
809,FSCN3,ENSG00000106328,Q9NQT6,uniprot_swissprot,0.23614667984178414
810,PLCB3,ENSG00000149782,Q01970,uniprot_swissprot,0.23612161699092224
811,PIGC,ENSG00000135845,Q92535,uniprot_swissprot,0.23600617488483525
812,SRP54,ENSG00000100883,P61011,uniprot_swissprot,0.23559246808965395
813,SMAD3,ENSG00000166949,P84022,uniprot_swissprot,0.2355892124969594
814,TRAF3IP2,ENSG00000056972,O43734,uniprot_swissprot,0.23555093026755702
815,RASA1,ENSG00000145715,P20936,uniprot_swissprot,0.23537575395301222
816,RND3,ENSG00000115963,P61587,uniprot_swissprot,0.2345145530119954
817,PNOC,ENSG00000168081,Q13519,uniprot_swissprot,0.2342866660043383
818,EPB41L4B,ENSG00000095203,Q9H329,uniprot_swissprot,0.23428534428378106
819,CFAP69,ENSG00000105792,A5D8W1,uniprot_swissprot,0.23339815465510563
820,CCDC88B,ENSG00000168071,A6NC98,uniprot_swissprot,0.2333704878642166
821,SEC23IP,ENSG00000107651,Q9Y6Y8,uniprot_swissprot,0.23329641093415018
822,IL23R,ENSG00000162594,Q5VWK5,uniprot_swissprot,0.2331835575689403
823,GDF7,ENSG00000143869,Q7Z4P5,uniprot_swissprot,0.2330938792874234
824,TLE4,ENSG00000106829,Q04727,uniprot_swissprot,0.23295234830631986
825,SENP6,ENSG00000112701,Q9GZR1,uniprot_swissprot,0.23289885941919714
826,IGF2BP3,ENSG00000136231,O00425,uniprot_swissprot,0.23279606372876502
827,SORBS2,ENSG00000154556,O94875,uniprot_swissprot,0.2327447735670599
828,PTDSS1,ENSG00000156471,P48651,uniprot_swissprot,0.2326136761802886
829,SHOC2,ENSG00000108061,Q9UQ13,uniprot_swissprot,0.23231251389055946
830,SH2B3,ENSG00000111252,Q9UQQ2,uniprot_swissprot,0.23181536316881923
831,KCTD8,ENSG00000183783,Q6ZWB6,uniprot_swissprot,0.2315770948045679
832,CDKL2,ENSG00000138769,Q92772,uniprot_swissprot,0.23157650553748613
833,STK31,ENSG00000196335,Q9BXU1,uniprot_swissprot,0.23074163524031288
834,TOM1,ENSG00000100284,O60784,uniprot_swissprot,0.23009421245400655
835,MLLT3,ENSG00000171843,P42568,uniprot_swissprot,0.22992889769120273
836,ATP5F1E,ENSG00000124172,P56381,uniprot_swissprot,0.2289093698072532
837,PTP4A1,ENSG00000112245,Q93096,uniprot_swissprot,0.22805015046464824
838,CAMK2N1,ENSG00000162545,Q7Z7J9,uniprot_swissprot,0.22789190315086008
839,USP44,ENSG00000136014,Q9H0E7,uniprot_swissprot,0.2275923557747985
840,CYTH1,ENSG00000108669,Q15438,uniprot_swissprot,0.2274464867619787
841,FGFR1,ENSG00000077782,P11362,uniprot_swissprot,0.22737068680084083
842,DDX20,ENSG00000064703,Q9UHI6,uniprot_swissprot,0.226835168975562
843,BANP,ENSG00000172530,Q8N9N5,uniprot_swissprot,0.22661956847262704
844,ADO,ENSG00000181915,Q96SZ5,uniprot_swissprot,0.22585303147246313
845,DMGDH,ENSG00000132837,Q9UI17,uniprot_swissprot,0.22583674157254854
846,BMP8A,ENSG00000183682,Q7Z5Y6,uniprot_swissprot,0.22534249074170948
847,SBF2,ENSG00000133812,Q86WG5,uniprot_swissprot,0.2251483809396112
848,HLA-C,ENSG00000204525,P10321,uniprot_swissprot,0.22488906759749602
849,TIMP4,ENSG00000157150,Q99727,uniprot_swissprot,0.22425170789480303
850,INHBB,ENSG00000163083,P09529,uniprot_swissprot,0.22419851424114046
851,TMEM176A,ENSG00000002933,Q96HP8,uniprot_swissprot,0.22359325516381434
852,CAMK2B,ENSG00000058404,Q13554,uniprot_swissprot,0.2234389138319036
853,L3MBTL3,ENSG00000198945,Q96JM7,uniprot_swissprot,0.2233412337254133
854,RORA,ENSG00000069667,P35398,uniprot_swissprot,0.22288434038288382
855,NTAN1,ENSG00000157045,Q96AB6,uniprot_swissprot,0.2227194330428267
856,IFT52,ENSG00000101052,Q9Y366,uniprot_swissprot,0.222158828022042
857,CD101,ENSG00000134256,Q93033,uniprot_swissprot,0.22209318028834119
858,CLEC16A,ENSG00000038532,Q2KHT3,uniprot_swissprot,0.22097566232935026
859,PTEN,ENSG00000171862,P60484,uniprot_swissprot,0.22060920623679853
860,GOPC,ENSG00000047932,Q9HD26,uniprot_swissprot,0.22011767642922567
861,FAM13A,ENSG00000138640,O94988,uniprot_swissprot,0.22003521320778885
862,RSBN1,ENSG00000081019,Q5VWQ0,uniprot_swissprot,0.21997252303079431
863,PTPN2,ENSG00000175354,P17706,uniprot_swissprot,0.21945562633536309
864,STAU2,ENSG00000040341,Q9NUL3,uniprot_swissprot,0.21920858803029836
865,ARF5,ENSG00000004059,P84085,uniprot_swissprot,0.21908340352664943
866,INKA2,ENSG00000197852,Q9NTI7,uniprot_swissprot,0.21828118352619325
867,POLD2,ENSG00000106628,P49005,uniprot_swissprot,0.21813371393027753
868,ETV5,ENSG00000244405,P41161,uniprot_swissprot,0.2180457306755948
869,MAP2K5,ENSG00000137764,Q13163,uniprot_swissprot,0.21797696352101004
870,REPS1,ENSG00000135597,Q96D71,uniprot_swissprot,0.21796769068509853
871,ZC3H13,ENSG00000123200,Q5T200,uniprot_swissprot,0.21749176114109892
872,NADK2,ENSG00000152620,Q4G0N4,uniprot_swissprot,0.2172245933168592
873,TCEA2,ENSG00000171703,Q15560,uniprot_swissprot,0.2169931200321901
874,BCDIN3D,ENSG00000186666,Q7Z5W3,uniprot_swissprot,0.21568848657161172
875,JPH1,ENSG00000104369,Q9HDC5,uniprot_swissprot,0.21528001598922697
876,SP8,ENSG00000164651,Q8IXZ3,uniprot_swissprot,0.2151676697418584
877,EVI2A,ENSG00000126860,P22794,uniprot_swissprot,0.21506059741345504
878,LARP1B,ENSG00000138709,Q659C4,uniprot_swissprot,0.21499859965390666
879,MDGA2,ENSG00000139915,Q7Z553,uniprot_swissprot,0.21409679522484537
880,LRP12,ENSG00000147650,Q9Y561,uniprot_swissprot,0.21374071819954585
881,SIX4,ENSG00000100625,Q9UIU6,uniprot_swissprot,0.21316299414395995
882,XRRA1,ENSG00000166435,Q6P2D8,uniprot_swissprot,0.2127756639346498
883,WDR11,ENSG00000120008,Q9BZH6,uniprot_swissprot,0.21193755337140371
884,APOL2,ENSG00000128335,Q9BQE5,uniprot_swissprot,0.21190147795806658
885,OAS3,ENSG00000111331,Q9Y6K5,uniprot_swissprot,0.21153281747262048
886,FAM135A,ENSG00000082269,Q9P2D6,uniprot_swissprot,0.21042534114054137
887,PLCG1,ENSG00000124181,P19174,uniprot_swissprot,0.21010533085132135
888,TYK2,ENSG00000105397,P29597,uniprot_swissprot,0.21000376818420655
889,H1-7,ENSG00000187166,Q75WM6,uniprot_swissprot,0.20998864541739193
890,FANCL,ENSG00000115392,Q9NW38,uniprot_swissprot,0.20997208275963544
891,GNAS,ENSG00000087460,O95467,uniprot_swissprot,0.2098819785389886
892,GNAS,ENSG00000087460,P63092,uniprot_swissprot,0.2098819785389886
893,GNAS,ENSG00000087460,Q5JWF2,uniprot_swissprot,0.2098819785389886
894,ANGPTL8,ENSG00000130173,Q6UXH0,uniprot_swissprot,0.20975841010930513
895,SPG7,ENSG00000197912,Q9UQ90,uniprot_swissprot,0.2093146904150664
896,HAAO,ENSG00000162882,P46952,uniprot_swissprot,0.20913172441558814
897,MAEA,ENSG00000090316,Q7L5Y9,uniprot_swissprot,0.2086194271327326
898,FIGNL1,ENSG00000132436,Q6PIW4,uniprot_swissprot,0.20852394223166212
899,LMF1,ENSG00000103227,Q96S06,uniprot_swissprot,0.20850408613387353
900,UGT3A2,ENSG00000168671,Q3SY77,uniprot_swissprot,0.2083633228945235
901,ZNF169,ENSG00000175787,Q14929,uniprot_swissprot,0.20779209621067832
902,UBE2O,ENSG00000175931,Q9C0C9,uniprot_swissprot,0.20740948323029784
903,UBAP2,ENSG00000137073,Q5T6F2,uniprot_swissprot,0.20702245681876374
904,CDKN1C,ENSG00000129757,P49918,uniprot_swissprot,0.20695861785726782
905,ASAH1,ENSG00000104763,Q13510,uniprot_swissprot,0.20664687625625475
906,TSBP1,ENSG00000204296,Q5SRN2,uniprot_swissprot,0.2066395982761658
907,PRELP,ENSG00000188783,P51888,uniprot_swissprot,0.206546756903824
908,CACNA2D3,ENSG00000157445,Q8IZS8,uniprot_swissprot,0.20638539526768027
909,CDK2AP1,ENSG00000111328,O14519,uniprot_swissprot,0.20637514508828209
910,PTH1R,ENSG00000160801,Q03431,uniprot_swissprot,0.205920151632392
911,MTOR,ENSG00000198793,P42345,uniprot_swissprot,0.2058702927570233
912,DGAT1,ENSG00000185000,O75907,uniprot_swissprot,0.20474172865492488
913,ANGEL1,ENSG00000013523,Q9UNK9,uniprot_swissprot,0.20444225265020885
914,APOC1,ENSG00000130208,P02654,uniprot_swissprot,0.20438955682996424
915,TMEM176B,ENSG00000106565,Q3YBM2,uniprot_swissprot,0.20352666838559852
916,PRR14L,ENSG00000183530,Q5THK1,uniprot_swissprot,0.20345582678345817
917,MAGI2,ENSG00000187391,Q86UL8,uniprot_swissprot,0.2026716839009865
918,NRP1,ENSG00000099250,O14786,uniprot_swissprot,0.2024665662728414
919,DNLZ,ENSG00000213221,Q5SXM8,uniprot_swissprot,0.20215838784954274
920,SNF8,ENSG00000159210,Q96H20,uniprot_swissprot,0.20186725197783967
921,SENP2,ENSG00000163904,Q9HC62,uniprot_swissprot,0.20183947888085288
922,ZC3H4,ENSG00000130749,Q9UPT8,uniprot_swissprot,0.2016725950625012
923,PPIA,ENSG00000196262,P62937,uniprot_swissprot,0.20152904854217663
924,PTPN9,ENSG00000169410,P43378,uniprot_swissprot,0.20119225138874416
925,PITPNC1,ENSG00000154217,Q9UKF7,uniprot_swissprot,0.2011746118032853
926,AFG2A,ENSG00000145375,Q8NB90,uniprot_swissprot,0.2007954566314324
927,MFSD4B,ENSG00000173214,Q5TF39,uniprot_swissprot,0.20077187349645184
928,RAB1A,ENSG00000138069,P62820,uniprot_swissprot,0.20043974532345749
