approvedSymbol,Druggable Family,ENSG
TRBV10-3,No,ENSG00000275791
ENSG00000284797,No,ENSG00000284797
ATP11B,No,ENSG00000058063
PARP12,No,ENSG00000059378
ARSF,No,ENSG00000062096
SEZ6,No,ENSG00000063015
CHAT,Yes,ENSG00000070748
MBD3,No,ENSG00000071655
TIGAR,No,ENSG00000078237
REXO1,No,ENSG00000079313
CFHR2,No,ENSG00000080910
PKP1,No,ENSG00000081277
DOCK9,No,ENSG00000088387
GCN1,No,ENSG00000089154
RCOR1,No,ENSG00000089902
LIPG,Yes,ENSG00000101670
PCSK1N,No,ENSG00000102109
PHEX,No,ENSG00000102174
GDAP1,No,ENSG00000104381
ERICH1,No,ENSG00000104714
DNAJC2,No,ENSG00000105821
PON2,No,ENSG00000105854
MTMR4,No,ENSG00000108389
MIIP,No,ENSG00000116691
CCDC77,No,ENSG00000120647
TMPO,No,ENSG00000120802
MND1,No,ENSG00000121211
ITPR2,Yes,ENSG00000123104
MAGEA10,No,ENSG00000124260
SH3BP4,No,ENSG00000130147
RAPGEF5,No,ENSG00000136237
CILP,No,ENSG00000138615
INTS12,No,ENSG00000138785
FOXN4,No,ENSG00000139445
PGGHG,No,ENSG00000142102
RPL13A,No,ENSG00000142541
USP21,No,ENSG00000143258
PRUNE1,No,ENSG00000143363
DTL,No,ENSG00000143476
TEX261,No,ENSG00000144043
DPYS,No,ENSG00000147647
EIF4EBP2,No,ENSG00000148730
IMMP1L,No,ENSG00000148950
BCL2L11,No,ENSG00000153094
FRMD1,No,ENSG00000153303
AK9,No,ENSG00000155085
GNG3,No,ENSG00000162188
RP9,No,ENSG00000164610
MOGAT2,No,ENSG00000166391
CLEC4E,No,ENSG00000166523
GOLM2,No,ENSG00000166734
TTC39C,No,ENSG00000168234
BDKRB2,Yes,ENSG00000168398
CAVIN2,No,ENSG00000168497
DCDC1,No,ENSG00000170959
TPPP,No,ENSG00000171368
MRPL13,No,ENSG00000172172
IQCF1,No,ENSG00000173389
HEG1,No,ENSG00000173706
ATP5MK,No,ENSG00000173915
PHLDA3,No,ENSG00000174307
HSF5,No,ENSG00000176160
CALML3,No,ENSG00000178363
HNRNPCL1,No,ENSG00000179172
PLCB1,No,ENSG00000182621
ZNF530,No,ENSG00000183647
KCNH8,Yes,ENSG00000183960
C14orf180,No,ENSG00000184601
VMAC,No,ENSG00000187650
S100A3,No,ENSG00000188015
NYX,No,ENSG00000188937
LRRC66,No,ENSG00000188993
S100A14,No,ENSG00000189334
OR5K4,No,ENSG00000196098
ADH1B,Yes,ENSG00000196616
ZNF121,No,ENSG00000197961
OR2M2,No,ENSG00000198601
NCOA6,No,ENSG00000198646
HLA-G,No,ENSG00000204632
FBXO47,No,ENSG00000204952
TRBV7-3,No,ENSG00000211714
IGHV3-13,No,ENSG00000211942
STIMATE,No,ENSG00000213533
CDRT4,No,ENSG00000239704
IGKV2D-28,No,ENSG00000242534
SMIM34,No,ENSG00000243627
NPIPA2,No,ENSG00000254852
SPECC1L-ADORA2A,No,ENSG00000258555
POTEB3,No,ENSG00000278522
OR51B2,No,ENSG00000279012
C13orf46,No,ENSG00000283199
ZNF511-PRAP1,No,ENSG00000283496
PON1,No,ENSG00000005421
TYROBP,No,ENSG00000011600
WWTR1,No,ENSG00000018408
BCLAF1,No,ENSG00000029363
ARHGEF5,No,ENSG00000050327
IDH3G,No,ENSG00000067829
TMEM38A,No,ENSG00000072954
SEMA3A,No,ENSG00000075213
MOCOS,No,ENSG00000075643
PDS5B,No,ENSG00000083642
WBP11,No,ENSG00000084463
FUS,No,ENSG00000089280
AAAS,No,ENSG00000094914
ANKRD54,No,ENSG00000100124
TOM1,No,ENSG00000100284
STS,Yes,ENSG00000101846
GSPT1,No,ENSG00000103342
IL2,No,ENSG00000109471
CDK2AP1,No,ENSG00000111328
CPEB4,No,ENSG00000113742
FRMD4B,No,ENSG00000114541
CD207,No,ENSG00000116031
LDAH,No,ENSG00000118961
PPP3CC,No,ENSG00000120910
CRY2,No,ENSG00000121671
ZRANB3,No,ENSG00000121988
SASH3,No,ENSG00000122122
WDR83,No,ENSG00000123154
RNF114,No,ENSG00000124226
EAPP,No,ENSG00000129518
ERMARD,No,ENSG00000130023
CHIA,Yes,ENSG00000134216
TBR1,No,ENSG00000136535
POLR1E,No,ENSG00000137054
SULF1,No,ENSG00000137573
MMP20,Yes,ENSG00000137674
SLC44A5,No,ENSG00000137968
SLC3A1,No,ENSG00000138079
ADAMTS14,No,ENSG00000138316
PRKG2,Yes,ENSG00000138669
SETD1B,No,ENSG00000139718
REM2,No,ENSG00000139890
CHST4,No,ENSG00000140835
MPC2,No,ENSG00000143158
PLK2,Yes,ENSG00000145632
ASB15,No,ENSG00000146809
NAPRT,No,ENSG00000147813
HMCN2,No,ENSG00000148357
PAMR1,Yes,ENSG00000149090
MPZL2,No,ENSG00000149573
