,Protein,ENSG,UniProt,Source,Score,disease_id
99,CHUK,ENSG00000213341,O15111,uniprot_swissprot,0.46368479248075384,MONDO_0100096
100,ST6GALNAC4,ENSG00000136840,Q9H4F1,uniprot_swissprot,0.4634634038816906,MONDO_0100096
101,RPS27A,ENSG00000143947,P62979,uniprot_swissprot,0.46340694029278046,MONDO_0100096
102,TAB1,ENSG00000100324,Q15750,uniprot_swissprot,0.463147105122723,MONDO_0100096
103,ST3GAL1,ENSG00000008513,Q11201,uniprot_swissprot,0.46308355791993133,MONDO_0100096
104,ST6GALNAC3,ENSG00000184005,Q8NDV1,uniprot_swissprot,0.4629911629562602,MONDO_0100096
105,ST6GALNAC2,ENSG00000070731,Q9UJ37,uniprot_swissprot,0.462898767992589,MONDO_0100096
106,TUFM,ENSG00000178952,P49411,uniprot_swissprot,0.46271397806524667,MONDO_0100096
107,HLA-F,ENSG00000204642,P30511,uniprot_swissprot,0.4619748183558772,MONDO_0100096
108,ST3GAL3,ENSG00000126091,Q11203,uniprot_swissprot,0.4619748183558772,MONDO_0100096
109,ST3GAL2,ENSG00000157350,Q16842,uniprot_swissprot,0.4619748183558772,MONDO_0100096
110,CD80,ENSG00000121594,P33681,uniprot_swissprot,0.4523128208983776,MONDO_0100096
111,CD86,ENSG00000114013,P42081,uniprot_swissprot,0.44999847134155807,MONDO_0100096
112,SLC6A20,ENSG00000163817,Q9NP91,uniprot_swissprot,0.4494603769843661,MONDO_0100096
113,HMGCR,ENSG00000113161,P04035,uniprot_swissprot,0.4241844293512789,MONDO_0100096
114,JAK2,ENSG00000096968,O60674,uniprot_swissprot,0.4151905491514746,MONDO_0100096
115,IL10RB,ENSG00000243646,Q08334,uniprot_swissprot,0.41470033172898396,MONDO_0100096
116,JAK1,ENSG00000162434,P23458,uniprot_swissprot,0.4141926294601095,MONDO_0100096
117,SELP,ENSG00000174175,P16109,uniprot_swissprot,0.41361101413497275,MONDO_0100096
118,CSF2RA,ENSG00000198223,P15509,uniprot_swissprot,0.4083835259282027,MONDO_0100096
119,PPIA,ENSG00000196262,P62937,uniprot_swissprot,0.4072093517945062,MONDO_0100096
120,ACHE,ENSG00000087085,P22303,uniprot_swissprot,0.401431346849263,MONDO_0100096
121,DPP9,ENSG00000142002,Q86TI2,uniprot_swissprot,0.3986801376228482,MONDO_0100096
122,RBX1,ENSG00000100387,P62877,uniprot_swissprot,0.39825822479752715,MONDO_0100096
123,CRBN,ENSG00000113851,Q96SW2,uniprot_swissprot,0.39664131293328153,MONDO_0100096
124,CUL4A,ENSG00000139842,Q13619,uniprot_swissprot,0.39627173307859687,MONDO_0100096
125,DDB1,ENSG00000167986,Q16531,uniprot_swissprot,0.39627173307859687,MONDO_0100096
126,MBL2,ENSG00000165471,P11226,uniprot_swissprot,0.3957558759557427,MONDO_0100096
127,IFIH1,ENSG00000115267,Q9BYX4,uniprot_swissprot,0.39503319628947337,MONDO_0100096
128,IL1R1,ENSG00000115594,P14778,uniprot_swissprot,0.39435384536773777,MONDO_0100096
129,MASP2,ENSG00000009724,O00187,uniprot_swissprot,0.3935347271244301,MONDO_0100096
130,CTSL,ENSG00000135047,P07711,uniprot_swissprot,0.39145646425869846,MONDO_0100096
131,ACE,ENSG00000159640,P12821,uniprot_swissprot,0.39013573135380003,MONDO_0100096
132,TNF,ENSG00000232810,P01375,uniprot_swissprot,0.3894739631074514,MONDO_0100096
133,SFTPD,ENSG00000133661,P35247,uniprot_swissprot,0.38803696035934404,MONDO_0100096
134,IL17RA,ENSG00000177663,Q96F46,uniprot_swissprot,0.38631217795148465,MONDO_0100096
135,INSR,ENSG00000171105,P06213,uniprot_swissprot,0.3833640949057767,MONDO_0100096
136,PDGFRB,ENSG00000113721,P09619,uniprot_swissprot,0.38158088185074013,MONDO_0100096
137,RIGI,ENSG00000107201,O95786,uniprot_swissprot,0.38038760537350563,MONDO_0100096
138,MASP1,ENSG00000127241,P48740,uniprot_swissprot,0.37885239979382807,MONDO_0100096
139,GSK3B,ENSG00000082701,P49841,uniprot_swissprot,0.37792248905508885,MONDO_0100096
140,STAT1,ENSG00000115415,P42224,uniprot_swissprot,0.3777311135782431,MONDO_0100096
141,STAT2,ENSG00000170581,P52630,uniprot_swissprot,0.37650146793099315,MONDO_0100096
142,IL6,ENSG00000136244,P05231,uniprot_swissprot,0.37616984891404015,MONDO_0100096
143,F2,ENSG00000180210,P00734,uniprot_swissprot,0.37612478665393173,MONDO_0100096
144,CANX,ENSG00000127022,P27824,uniprot_swissprot,0.37558552732332817,MONDO_0100096
145,TAB3,ENSG00000157625,Q8N5C8,uniprot_swissprot,0.37456918272294526,MONDO_0100096
146,TRIM25,ENSG00000121060,Q14258,uniprot_swissprot,0.37449028769007714,MONDO_0100096
147,CAV1,ENSG00000105974,Q03135,uniprot_swissprot,0.3740899860734876,MONDO_0100096
148,SUMO1,ENSG00000116030,P63165,uniprot_swissprot,0.37363050122258146,MONDO_0100096
149,RPS28,ENSG00000233927,P62857,uniprot_swissprot,0.3735066406407267,MONDO_0100096
150,UBA52,ENSG00000221983,P62987,uniprot_swissprot,0.37348261795017224,MONDO_0100096
151,KPNA2,ENSG00000182481,P52292,uniprot_swissprot,0.37290607337686404,MONDO_0100096
152,DDX5,ENSG00000108654,P17844,uniprot_swissprot,0.3728566934018354,MONDO_0100096
153,RPS29,ENSG00000213741,P62273,uniprot_swissprot,0.3728547428414912,MONDO_0100096
154,LAMB1,ENSG00000091136,P07942,uniprot_swissprot,0.37282931871952696,MONDO_0100096
155,MAP3K7,ENSG00000135341,O43318,uniprot_swissprot,0.3725082617277243,MONDO_0100096
156,YWHAQ,ENSG00000134308,P27348,uniprot_swissprot,0.37244409855850824,MONDO_0100096
157,PARP14,ENSG00000173193,Q460N5,uniprot_swissprot,0.37243862301041236,MONDO_0100096
158,RPS3,ENSG00000149273,P23396,uniprot_swissprot,0.3722702420352003,MONDO_0100096
159,TJP1,ENSG00000104067,Q07157,uniprot_swissprot,0.37226531116111866,MONDO_0100096
160,RPS6,ENSG00000137154,P62753,uniprot_swissprot,0.37225930863116585,MONDO_0100096
161,PARP9,ENSG00000138496,Q8IXQ6,uniprot_swissprot,0.37225758591554503,MONDO_0100096
162,TOMM70,ENSG00000154174,O94826,uniprot_swissprot,0.3720745187038235,MONDO_0100096
163,PALS1,ENSG00000072415,Q8N3R9,uniprot_swissprot,0.3720065057444545,MONDO_0100096
164,GSK3A,ENSG00000105723,P49840,uniprot_swissprot,0.3719821237401523,MONDO_0100096
165,ADRA1D,ENSG00000171873,P25100,uniprot_swissprot,0.3719263835011832,MONDO_0100096
166,RANBP2,ENSG00000153201,P49792,uniprot_swissprot,0.37188972877648113,MONDO_0100096
167,NLRP12,ENSG00000142405,P59046,uniprot_swissprot,0.37180795923363213,MONDO_0100096
168,G3BP1,ENSG00000145907,Q13283,uniprot_swissprot,0.37180554355578377,MONDO_0100096
169,VPS18,ENSG00000104142,Q9P253,uniprot_swissprot,0.37179733381281,MONDO_0100096
170,ATG14,ENSG00000126775,Q6ZNE5,uniprot_swissprot,0.37179733381281,MONDO_0100096
171,ANO6,ENSG00000177119,Q4KMQ2,uniprot_swissprot,0.37171314859211263,MONDO_0100096
172,SRPK2,ENSG00000135250,P78362,uniprot_swissprot,0.37170493884913886,MONDO_0100096
173,RPS16,ENSG00000105193,P62249,uniprot_swissprot,0.37170493884913886,MONDO_0100096
174,SRPK1,ENSG00000096063,Q96SB4,uniprot_swissprot,0.3716998057956015,MONDO_0100096
175,PDE4A,ENSG00000065989,P27815,uniprot_swissprot,0.3716678484975835,MONDO_0100096
176,TAB2,ENSG00000055208,Q9NYJ8,uniprot_swissprot,0.3716587413673032,MONDO_0100096
177,ZDHHC5,ENSG00000156599,Q9C0B5,uniprot_swissprot,0.3714277539581253,MONDO_0100096
178,RPS14,ENSG00000164587,P62263,uniprot_swissprot,0.3714277539581253,MONDO_0100096
179,RPS10,ENSG00000124614,P46783,uniprot_swissprot,0.3714277539581253,MONDO_0100096
180,NUP58,ENSG00000139496,Q9BVL2,uniprot_swissprot,0.3714277539581253,MONDO_0100096
181,ADRA2A,ENSG00000150594,P08913,uniprot_swissprot,0.3713193312966744,MONDO_0100096
182,VHL,ENSG00000134086,P40337,uniprot_swissprot,0.3712070326560219,MONDO_0100096
183,CHMP6,ENSG00000176108,Q96FZ7,uniprot_swissprot,0.3711043715852762,MONDO_0100096
184,SFN,ENSG00000175793,P31947,uniprot_swissprot,0.37105817410344055,MONDO_0100096
185,UBE2I,ENSG00000103275,P63279,uniprot_swissprot,0.3710530410499033,MONDO_0100096
186,MAGT1,ENSG00000102158,Q9H0U3,uniprot_swissprot,0.37082205364072535,MONDO_0100096
187,ADRA2C,ENSG00000184160,P18825,uniprot_swissprot,0.3707495623540355,MONDO_0100096
188,RPS24,ENSG00000138326,P62847,uniprot_swissprot,0.37073479173059143,MONDO_0100096
189,CHMP3,ENSG00000115561,Q9Y3E7,uniprot_swissprot,0.3707039934093677,MONDO_0100096
190,RPS3A,ENSG00000145425,P61247,uniprot_swissprot,0.37068859424875583,MONDO_0100096
191,CREBBP,ENSG00000005339,Q92793,uniprot_swissprot,0.3706834611952186,MONDO_0100096
192,RB1,ENSG00000139687,P06400,uniprot_swissprot,0.3705961992850847,MONDO_0100096
193,PARP10,ENSG00000178685,Q53GL7,uniprot_swissprot,0.3705961992850847,MONDO_0100096
194,DAD1,ENSG00000129562,P61803,uniprot_swissprot,0.37050380432141355,MONDO_0100096
195,UBB,ENSG00000170315,P0CG47,uniprot_swissprot,0.37050380432141355,MONDO_0100096
196,YWHAZ,ENSG00000164924,P63104,uniprot_swissprot,0.37050380432141355,MONDO_0100096
197,RPS4Y1,ENSG00000129824,P22090,uniprot_swissprot,0.37050380432141355,MONDO_0100096
198,RPS15A,ENSG00000134419,P62244,uniprot_swissprot,0.37050380432141355,MONDO_0100096
199,RPS21,ENSG00000171858,P63220,uniprot_swissprot,0.37050380432141355,MONDO_0100096
200,PARP8,ENSG00000151883,Q8N3A8,uniprot_swissprot,0.37050380432141355,MONDO_0100096
201,PRKCSH,ENSG00000130175,P14314,uniprot_swissprot,0.37050380432141355,MONDO_0100096
202,MGAT5,ENSG00000152127,Q09328,uniprot_swissprot,0.37050380432141355,MONDO_0100096
203,MGAT4A,ENSG00000071073,Q9UM21,uniprot_swissprot,0.37050380432141355,MONDO_0100096
204,RPS27L,ENSG00000185088,Q71UM5,uniprot_swissprot,0.37050380432141355,MONDO_0100096
205,CHMP7,ENSG00000147457,Q8WUX9,uniprot_swissprot,0.37050380432141355,MONDO_0100096
