,Protein,ENSG,UniProt,Source,Score,disease_id
207,RPS20,ENSG00000008988,P60866,uniprot_swissprot,0.37027281691223557,MONDO_0100096
208,RPS15,ENSG00000115268,P62841,uniprot_swissprot,0.37027281691223557,MONDO_0100096
209,VCP,ENSG00000165280,P55072,uniprot_swissprot,0.37022661943040003,MONDO_0100096
210,GSK3A,ENSG00000105723,P49840,uniprot_swissprot,0.37013422446672883,MONDO_0100096
211,RPS9,ENSG00000170889,P46781,uniprot_swissprot,0.37013422446672883,MONDO_0100096
212,RPS5,ENSG00000083845,P46782,uniprot_swissprot,0.37013422446672883,MONDO_0100096
213,STT3A,ENSG00000134910,P46977,uniprot_swissprot,0.37013422446672883,MONDO_0100096
214,FUT8,ENSG00000033170,Q9BYC5,uniprot_swissprot,0.36994943453938645,MONDO_0100096
215,RPS26,ENSG00000197728,P62854,uniprot_swissprot,0.36994943453938645,MONDO_0100096
216,MOGS,ENSG00000115275,Q13724,uniprot_swissprot,0.36994943453938645,MONDO_0100096
217,YWHAB,ENSG00000166913,P31946,uniprot_swissprot,0.36994943453938645,MONDO_0100096
218,RPS16,ENSG00000105193,P62249,uniprot_swissprot,0.36994943453938645,MONDO_0100096
219,ZCRB1,ENSG00000139168,Q8TBF4,uniprot_swissprot,0.36994943453938645,MONDO_0100096
220,NUP98,ENSG00000110713,P52948,uniprot_swissprot,0.36994943453938645,MONDO_0100096
221,VPS45,ENSG00000136631,Q9NRW7,uniprot_swissprot,0.36994943453938645,MONDO_0100096
222,KIT,ENSG00000157404,P10721,uniprot_swissprot,0.3697355867858953,MONDO_0100096
223,ANO5,ENSG00000171714,Q75V66,uniprot_swissprot,0.3695798546847018,MONDO_0100096
224,RPS4X,ENSG00000198034,P62701,uniprot_swissprot,0.3695798546847018,MONDO_0100096
225,ANO10,ENSG00000160746,Q9NW15,uniprot_swissprot,0.3695798546847018,MONDO_0100096
226,AAAS,ENSG00000094914,Q9NRG9,uniprot_swissprot,0.3695798546847018,MONDO_0100096
227,NUP133,ENSG00000069248,Q8WUM0,uniprot_swissprot,0.3695798546847018,MONDO_0100096
228,ANO2,ENSG00000047617,Q9NQ90,uniprot_swissprot,0.3695798546847018,MONDO_0100096
229,YWHAE,ENSG00000108953,P62258,uniprot_swissprot,0.3695798546847018,MONDO_0100096
230,NUP43,ENSG00000120253,Q8NFH3,uniprot_swissprot,0.3695798546847018,MONDO_0100096
231,NUP62,ENSG00000213024,P37198,uniprot_swissprot,0.3695798546847018,MONDO_0100096
232,VPS33A,ENSG00000139719,Q96AX1,uniprot_swissprot,0.3695798546847018,MONDO_0100096
233,RPN1,ENSG00000163902,P04843,uniprot_swissprot,0.3695798546847018,MONDO_0100096
234,VPS41,ENSG00000006715,P49754,uniprot_swissprot,0.3695798546847018,MONDO_0100096
235,RPS11,ENSG00000142534,P62280,uniprot_swissprot,0.3695798546847018,MONDO_0100096
236,MAN2A1,ENSG00000112893,Q16706,uniprot_swissprot,0.3695798546847018,MONDO_0100096
237,RPS13,ENSG00000110700,P62277,uniprot_swissprot,0.3695798546847018,MONDO_0100096
238,ZDHHC8,ENSG00000099904,Q9ULC8,uniprot_swissprot,0.3695798546847018,MONDO_0100096
239,ZDHHC2,ENSG00000104219,Q9UIJ5,uniprot_swissprot,0.3695798546847018,MONDO_0100096
240,CHMP4B,ENSG00000101421,Q9H444,uniprot_swissprot,0.3695798546847018,MONDO_0100096
241,ZDHHC20,ENSG00000180776,Q5W0Z9,uniprot_swissprot,0.3695798546847018,MONDO_0100096
242,YWHAH,ENSG00000128245,Q04917,uniprot_swissprot,0.3695798546847018,MONDO_0100096
243,NUP37,ENSG00000075188,Q8NFH4,uniprot_swissprot,0.3695798546847018,MONDO_0100096
244,NUP93,ENSG00000102900,Q8N1F7,uniprot_swissprot,0.3695798546847018,MONDO_0100096
245,NUP35,ENSG00000163002,Q8NFH5,uniprot_swissprot,0.3695798546847018,MONDO_0100096
246,TKFC,ENSG00000149476,Q3LXA3,uniprot_swissprot,0.3695798546847018,MONDO_0100096
247,RPS4Y2,ENSG00000280969,Q8TD47,uniprot_swissprot,0.3695798546847018,MONDO_0100096
248,PARP16,ENSG00000138617,Q8N5Y8,uniprot_swissprot,0.3695798546847018,MONDO_0100096
249,GOLGA7,ENSG00000147533,Q7Z5G4,uniprot_swissprot,0.3695798546847018,MONDO_0100096
250,MAN1B1,ENSG00000177239,Q9UKM7,uniprot_swissprot,0.3695798546847018,MONDO_0100096
251,RPS18,ENSG00000231500,P62269,uniprot_swissprot,0.3695798546847018,MONDO_0100096
252,ANO7,ENSG00000146205,Q6IWH7,uniprot_swissprot,0.3695798546847018,MONDO_0100096
253,RPS19,ENSG00000105372,P39019,uniprot_swissprot,0.3695798546847018,MONDO_0100096
254,RPSA,ENSG00000168028,P08865,uniprot_swissprot,0.3695798546847018,MONDO_0100096
255,NUP54,ENSG00000138750,Q7Z3B4,uniprot_swissprot,0.3695798546847018,MONDO_0100096
256,NUP188,ENSG00000095319,Q5SRE5,uniprot_swissprot,0.3695798546847018,MONDO_0100096
257,CHMP2A,ENSG00000130724,O43633,uniprot_swissprot,0.3695798546847018,MONDO_0100096
258,NUP160,ENSG00000030066,Q12769,uniprot_swissprot,0.3695798546847018,MONDO_0100096
259,SEC13,ENSG00000157020,P55735,uniprot_swissprot,0.3695798546847018,MONDO_0100096
260,CSNK1A1,ENSG00000113712,P48729,uniprot_swissprot,0.3695798546847018,MONDO_0100096
261,VPS33B,ENSG00000184056,Q9H267,uniprot_swissprot,0.3695798546847018,MONDO_0100096
262,ISCU,ENSG00000136003,Q9H1K1,uniprot_swissprot,0.3695798546847018,MONDO_0100096
263,MGAT4B,ENSG00000161013,Q9UQ53,uniprot_swissprot,0.3695798546847018,MONDO_0100096
264,ANO8,ENSG00000074855,Q9HCE9,uniprot_swissprot,0.3695798546847018,MONDO_0100096
265,NUP153,ENSG00000124789,P49790,uniprot_swissprot,0.3695798546847018,MONDO_0100096
266,RPS2,ENSG00000140988,P15880,uniprot_swissprot,0.3695798546847018,MONDO_0100096
267,CHMP2B,ENSG00000083937,Q9UQN3,uniprot_swissprot,0.3695798546847018,MONDO_0100096
268,NUP42,ENSG00000136243,O15504,uniprot_swissprot,0.3695798546847018,MONDO_0100096
269,G3BP2,ENSG00000138757,Q9UN86,uniprot_swissprot,0.3695798546847018,MONDO_0100096
270,NUP205,ENSG00000155561,Q92621,uniprot_swissprot,0.3695798546847018,MONDO_0100096
271,NDC1,ENSG00000058804,Q9BTX1,uniprot_swissprot,0.3695798546847018,MONDO_0100096
272,NUP107,ENSG00000111581,P57740,uniprot_swissprot,0.3695798546847018,MONDO_0100096
273,RPS17,ENSG00000182774,P08708,uniprot_swissprot,0.3695798546847018,MONDO_0100096
274,PARP4,ENSG00000102699,Q9UKK3,uniprot_swissprot,0.3695798546847018,MONDO_0100096
275,ZDHHC9,ENSG00000188706,Q9Y397,uniprot_swissprot,0.3695798546847018,MONDO_0100096
276,ANO9,ENSG00000185101,A1A5B4,uniprot_swissprot,0.3695798546847018,MONDO_0100096
277,TUSC3,ENSG00000104723,Q13454,uniprot_swissprot,0.3695798546847018,MONDO_0100096
