drugId,smiles,MW,HBA,HBD,LogP,AtomNum,MolRefractivity,RotBond,TPSA,Charge,HeavyAtom,RingNum,Violation(s)_ro5,Lipinski_ro5,Ghose,Veber,REOS,QED,phase,Flag
CHEMBL517712,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,289.375,4,1,1.9309,21,79.9558,4,49.77,0,21,3,0,0,0,0,0,0,4,0
CHEMBL4297611,CC(C)(NC(=O)O[C@@H]1CN2CCC1CC2)c1csc(-c2ccc(F)cc2)n1,389.496,5,1,4.0047,27,103.1027,4,54.46,0,27,5,0,0,0,0,0,0,2,0
CHEMBL407,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,303.293,6,0,1.7737,22,75.276,2,64.43,0,22,3,0,0,0,0,0,0,1,0
CHEMBL1464,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,308.333,4,1,3.6096,23,87.7318,4,67.51,0,23,3,0,0,0,0,0,0,1,0
CHEMBL220492,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,339.366,9,2,-0.3954,22,71.6042,3,115.54,0,22,3,0,0,0,0,0,0,2,0
CHEMBL86715,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,287.447,2,1,3.9404,21,87.2048,5,23.47,0,21,3,0,0,0,0,0,0,4,0
CHEMBL549,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,324.399,3,0,3.81298,24,90.914,5,36.26,0,24,3,0,0,0,0,0,0,2,0
CHEMBL655,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,325.774,3,0,4.32422,23,89.054,1,30.18,0,23,4,0,0,0,0,0,0,1,0
CHEMBL1200604,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,284.359,4,1,2.2062,21,81.5968,6,53.43,0,21,2,0,0,0,0,0,1,2,1
CHEMBL419792,CN[C@@H]1Cc2cccc3[nH]c(=O)n(c23)C1,203.245,4,2,0.4737,15,59.1104,1,49.82,0,15,3,0,0,1,0,0,0,3,1
